,compound,create_date,negative,neutral,news_media,positive,tweets_ago
93,-0.5574,2017-12-01 23:10:07+00:00,0.31,0.69,CNN,0.0,-93
94,-0.34,2017-12-01 23:00:15+00:00,0.211,0.789,CNN,0.0,-94
95,0.6249,2017-12-01 22:50:04+00:00,0.0,0.758,CNN,0.242,-95
96,0.0,2017-12-01 22:40:06+00:00,0.0,1.0,CNN,0.0,-96
97,-0.6486,2017-12-01 22:30:07+00:00,0.209,0.791,CNN,0.0,-97
98,-0.2023,2017-12-01 22:20:08+00:00,0.247,0.604,CNN,0.148,-98
99,0.0772,2017-12-01 22:10:13+00:00,0.093,0.802,CNN,0.105,-99
0,0.3291,2017-12-02 21:59:04+00:00,0.0,0.895,BBC,0.105,0
1,0.0,2017-12-02 20:00:05+00:00,0.0,1.0,BBC,0.0,-1
2,0.6369,2017-12-02 19:57:21+00:00,0.0,0.811,BBC,0.189,-2
3,0.0,2017-12-02 19:49:59+00:00,0.0,1.0,BBC,0.0,-3
4,0.5093,2017-12-02 19:48:25+00:00,0.0,0.829,BBC,0.171,-4
5,0.2023,2017-12-02 19:30:03+00:00,0.131,0.674,BBC,0.195,-5
6,0.5106,2017-12-02 18:30:02+00:00,0.178,0.471,BBC,0.351,-6
7,0.0,2017-12-02 18:02:04+00:00,0.0,1.0,BBC,0.0,-7
8,0.2263,2017-12-02 17:30:05+00:00,0.0,0.863,BBC,0.137,-8
9,-0.2401,2017-12-02 16:33:03+00:00,0.103,0.897,BBC,0.0,-9
10,0.0,2017-12-02 16:00:03+00:00,0.0,1.0,BBC,0.0,-10
11,0.4404,2017-12-02 15:05:11+00:00,0.0,0.861,BBC,0.139,-11
12,-0.5423,2017-12-02 15:00:05+00:00,0.28,0.72,BBC,0.0,-12
13,0.0258,2017-12-02 14:53:58+00:00,0.152,0.657,BBC,0.19,-13
14,0.6952,2017-12-02 14:52:52+00:00,0.0,0.758,BBC,0.242,-14
15,0.0,2017-12-02 14:52:22+00:00,0.0,1.0,BBC,0.0,-15
16,0.7884,2017-12-02 14:51:55+00:00,0.0,0.782,BBC,0.218,-16
17,0.765,2017-12-02 14:30:04+00:00,0.0,0.708,BBC,0.292,-17
18,0.0,2017-12-02 13:47:35+00:00,0.0,1.0,BBC,0.0,-18
19,-0.3818,2017-12-02 13:33:03+00:00,0.157,0.843,BBC,0.0,-19
